metric,condition,N,value
kappa_floor,incoherent,64,0.2833
imfrac_floor,incoherent,64,0.0683
kappa_floor,phi0_coherent,64,0.0118
imfrac_floor,phi0_coherent,64,0.0163
kappa_floor,incoherent,1024,0.2563
imfrac_floor,incoherent,1024,0.0181
kappa_floor,phi0_coherent,1024,0.0027
imfrac_floor,phi0_coherent,1024,0.0037
phi_eff_at_kappa_0.1,rho095,64,11.46
imfrac_threshold_at_kappa_0.1,rho095,64,0.1369
phi_eff_at_kappa_0.3,rho095,64,34.89
imfrac_threshold_at_kappa_0.3,rho095,64,0.3941
phi_max_deg,Q5_beta0.05_d100km,-,28.1
phi_max_deg,Q5_beta0.05_d250km,-,64.0
phi_max_deg,Q5_beta0.1_d100km,-,53.1
phi_max_deg,Q5_beta0.1_d250km,-,102.7
phi_max_deg,Q5_beta0.2_d100km,-,90.0
phi_max_deg,Q5_beta0.2_d250km,-,136.4
phi_max_deg,Q10_beta0.05_d100km,-,53.1
phi_max_deg,Q10_beta0.05_d250km,-,102.7
phi_max_deg,Q10_beta0.1_d100km,-,90.0
phi_max_deg,Q10_beta0.1_d250km,-,136.4
phi_max_deg,Q10_beta0.2_d100km,-,126.9
phi_max_deg,Q10_beta0.2_d250km,-,157.4
phi_max_deg,Q20_beta0.05_d100km,-,90.0
phi_max_deg,Q20_beta0.05_d250km,-,136.4
phi_max_deg,Q20_beta0.1_d100km,-,126.9
phi_max_deg,Q20_beta0.1_d250km,-,157.4
phi_max_deg,Q20_beta0.2_d100km,-,151.9
phi_max_deg,Q20_beta0.2_d250km,-,168.6
