variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,64,5.0,0.05,100.0,0.7,68.2024,0.4227,1.585209e-20,0.5410,0.5410,0.6285,0.6896,0.2056,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,100.0,0.85,68.2024,0.4232,1.579520e-20,0.5419,0.5419,0.6278,0.6904,0.2047,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,100.0,0.95,68.0000,0.4235,1.577873e-20,0.5424,0.5424,0.6277,0.6909,0.2042,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,150.0,0.7,68.0000,0.5008,2.440707e-21,0.6105,0.6105,0.6565,0.6964,0.1564,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,150.0,0.85,68.0000,0.5015,2.419951e-21,0.6126,0.6126,0.6566,0.6990,0.1551,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,150.0,0.95,68.0000,0.5020,2.441586e-21,0.6137,0.6137,0.6564,0.6999,0.1544,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,250.0,0.7,68.0000,0.5704,2.973987e-22,0.6550,0.6550,0.6776,0.6957,0.1081,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,250.0,0.85,68.0000,0.5718,2.955251e-22,0.6603,0.6603,0.6778,0.7017,0.1059,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.05,250.0,0.95,68.0000,0.5729,3.002584e-22,0.6631,0.6631,0.6775,0.7039,0.1049,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,100.0,0.7,68.0000,0.4777,6.010979e-21,0.5910,0.5910,0.6707,0.6997,0.1929,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,100.0,0.85,68.2024,0.4790,5.975468e-21,0.5936,0.5936,0.6705,0.7022,0.1914,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,100.0,0.95,68.2024,0.4797,5.921509e-21,0.5949,0.5949,0.6703,0.7031,0.1905,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,150.0,0.7,68.3035,0.5409,8.783375e-22,0.6360,0.6360,0.6845,0.6967,0.1434,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,150.0,0.85,68.3035,0.5429,8.690442e-22,0.6417,0.6417,0.6845,0.7028,0.1412,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,150.0,0.95,68.3035,0.5445,8.690578e-22,0.6450,0.6450,0.6846,0.7050,0.1401,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,5.0,0.1,250.0,0.7,70.5295,0.5913,1.019088e-22,0.6535,0.6535,0.6784,0.6846,0.0878,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
